tipo,concentracion_mol_L,replica,absorbancia
estandar,0.0,1,0.008
estandar,0.0,2,-0.003
estandar,0.0,3,-0.001
estandar,4e-05,1,0.102
estandar,4e-05,2,0.1
estandar,4e-05,3,0.098
estandar,8e-05,1,0.201
estandar,8e-05,2,0.201
estandar,8e-05,3,0.196
estandar,0.00012,1,0.298
estandar,0.00012,2,0.298
estandar,0.00012,3,0.297
estandar,0.00016,1,0.397
estandar,0.00016,2,0.389
estandar,0.00016,3,0.395
estandar,0.00024,1,0.586
estandar,0.00024,2,0.586
estandar,0.00024,3,0.588
estandar,0.00032,1,0.779
estandar,0.00032,2,0.783
estandar,0.00032,3,0.783
estandar,0.0004,1,0.97
estandar,0.0004,2,0.974
estandar,0.0004,3,0.967
estandar,0.0006,1,1.429
estandar,0.0006,2,1.429
estandar,0.0006,3,1.422
estandar,0.0008,1,1.828
estandar,0.0008,2,1.835
estandar,0.0008,3,1.828
estandar,0.001,1,2.131
estandar,0.001,2,2.129
estandar,0.001,3,2.127
estandar,0.0012,1,2.292
estandar,0.0012,2,2.293
estandar,0.0012,3,2.296
problema,,1,0.503
problema,,2,0.502
problema,,3,0.504
