recibido,marca_cliente,alumno,sesion,ejercicio,evento,intento,detalle
2026-10-10T15:05:02+00:00,2026-10-10T15:05:02+00:00,A04,S1,,inicio,0,
2026-10-10T15:05:19+00:00,2026-10-10T15:05:19+00:00,A13,S1,,inicio,0,
2026-10-10T15:05:27+00:00,2026-10-10T15:05:27+00:00,A05,S1,,inicio,0,
2026-10-10T15:05:30+00:00,2026-10-10T15:05:30+00:00,A23,S1,,inicio,0,
2026-10-10T15:05:55+00:00,2026-10-10T15:05:55+00:00,A03,S1,,inicio,0,
2026-10-10T15:06:13+00:00,2026-10-10T15:06:13+00:00,A24,S1,,inicio,0,
2026-10-10T15:06:32+00:00,2026-10-10T15:06:32+00:00,A09,S1,,inicio,0,
2026-10-10T15:07:17+00:00,2026-10-10T15:07:17+00:00,A07,S1,,inicio,0,
2026-10-10T15:07:25+00:00,2026-10-10T15:07:25+00:00,A10,S1,,inicio,0,
2026-10-10T15:07:33+00:00,2026-10-10T15:07:33+00:00,A06,S1,,inicio,0,
2026-10-10T15:07:36+00:00,2026-10-10T15:07:36+00:00,A14,S1,,inicio,0,
2026-10-10T15:07:47+00:00,2026-10-10T15:07:47+00:00,A18,S1,,inicio,0,
2026-10-10T15:08:15+00:00,2026-10-10T15:08:15+00:00,A21,S1,,inicio,0,
2026-10-10T15:08:28+00:00,2026-10-10T15:08:28+00:00,A01,S1,,inicio,0,
2026-10-10T15:08:37+00:00,2026-10-10T15:08:37+00:00,A19,S1,,inicio,0,
2026-10-10T15:08:56+00:00,2026-10-10T15:08:56+00:00,A15,S1,,inicio,0,
2026-10-10T15:09:28+00:00,2026-10-10T15:09:28+00:00,A20,S1,,inicio,0,
2026-10-10T15:09:35+00:00,2026-10-10T15:09:35+00:00,A16,S1,,inicio,0,
2026-10-10T15:09:50+00:00,2026-10-10T15:09:50+00:00,A02,S1,,inicio,0,
2026-10-10T15:10:02+00:00,2026-10-10T15:10:02+00:00,A17,S1,,inicio,0,
2026-10-10T15:10:27+00:00,2026-10-10T15:10:27+00:00,A08,S1,,inicio,0,
2026-10-10T15:10:36+00:00,2026-10-10T15:10:36+00:00,A11,S1,,inicio,0,
2026-10-10T15:10:52+00:00,2026-10-10T15:10:52+00:00,A12,S1,,inicio,0,
2026-10-10T15:10:58+00:00,2026-10-10T15:10:58+00:00,A22,S1,,inicio,0,
2026-10-10T15:22:57+00:00,2026-10-10T15:22:57+00:00,A09,S1,ej1,correcto,1,
2026-10-10T15:24:34+00:00,2026-10-10T15:24:34+00:00,A04,S1,ej1,incorrecto,1,"`x` vale 77.1, pero no es el valor esperado."
2026-10-10T15:24:41+00:00,2026-10-10T15:24:41+00:00,A15,S1,ej1,pendiente,1,Sustituye `____` por tu respuesta.
2026-10-10T15:25:49+00:00,2026-10-10T15:25:49+00:00,A24,S1,ej1,correcto,1,
2026-10-10T15:26:54+00:00,2026-10-10T15:26:54+00:00,A15,S1,ej1,correcto,2,
2026-10-10T15:27:03+00:00,2026-10-10T15:27:03+00:00,A20,S1,ej1,correcto,1,
2026-10-10T15:27:48+00:00,2026-10-10T15:27:48+00:00,A23,S1,ej1,correcto,1,
2026-10-10T15:27:58+00:00,2026-10-10T15:27:58+00:00,A08,S1,ej1,pendiente,1,Sustituye `____` por tu respuesta.
2026-10-10T15:28:45+00:00,2026-10-10T15:28:45+00:00,A04,S1,ej1,incorrecto,2,"`x` vale 77.1, pero no es el valor esperado."
2026-10-10T15:29:23+00:00,2026-10-10T15:29:23+00:00,A06,S1,ej1,correcto,1,
2026-10-10T15:29:25+00:00,2026-10-10T15:29:25+00:00,A04,S1,ej1,pista,2,
2026-10-10T15:31:09+00:00,2026-10-10T15:31:09+00:00,A08,S1,ej1,correcto,2,
2026-10-10T15:31:33+00:00,2026-10-10T15:31:33+00:00,A13,S1,ej1,incorrecto,1,"`x` vale 77.1, pero no es el valor esperado."
2026-10-10T15:32:27+00:00,2026-10-10T15:32:27+00:00,A05,S1,ej1,correcto,1,
2026-10-10T15:32:47+00:00,2026-10-10T15:32:47+00:00,A04,S1,ej1,incorrecto,3,"`x` vale 77.1, pero no es el valor esperado."
2026-10-10T15:33:02+00:00,2026-10-10T15:33:02+00:00,A09,S1,ej2a,incorrecto,1,"`masa_molar_hcn` vale 26.0, pero no es el valor esperado."
2026-10-10T15:33:04+00:00,2026-10-10T15:33:04+00:00,A13,S1,ej1,correcto,2,
2026-10-10T15:33:13+00:00,2026-10-10T15:33:13+00:00,A19,S1,ej1,correcto,1,
2026-10-10T15:33:17+00:00,2026-10-10T15:33:17+00:00,A14,S1,ej1,pendiente,1,Sustituye `____` por tu respuesta.
2026-10-10T15:34:19+00:00,2026-10-10T15:34:19+00:00,A17,S1,ej1,pendiente,1,Sustituye `____` por tu respuesta.
2026-10-10T15:35:39+00:00,2026-10-10T15:35:39+00:00,A09,S1,ej2a,incorrecto,2,"`masa_molar_hcn` vale 26.0, pero no es el valor esperado."
2026-10-10T15:35:46+00:00,2026-10-10T15:35:46+00:00,A12,S1,ej1,pendiente,1,Sustituye `____` por tu respuesta.
2026-10-10T15:35:49+00:00,2026-10-10T15:35:49+00:00,A04,S1,ej1,incorrecto,4,"`x` vale 77.1, pero no es el valor esperado."
2026-10-10T15:35:50+00:00,2026-10-10T15:35:50+00:00,A11,S1,ej1,correcto,1,
2026-10-10T15:36:22+00:00,2026-10-10T15:36:22+00:00,A17,S1,ej1,correcto,2,
2026-10-10T15:36:44+00:00,2026-10-10T15:36:44+00:00,A02,S1,ej1,correcto,1,
2026-10-10T15:36:58+00:00,2026-10-10T15:36:58+00:00,A15,S1,ej2a,correcto,1,
2026-10-10T15:37:29+00:00,2026-10-10T15:37:29+00:00,A10,S1,ej1,pendiente,1,Sustituye `____` por tu respuesta.
2026-10-10T15:37:30+00:00,2026-10-10T15:37:30+00:00,A14,S1,ej1,correcto,2,
2026-10-10T15:38:13+00:00,2026-10-10T15:38:13+00:00,A04,S1,ej1,correcto,5,
2026-10-10T15:38:23+00:00,2026-10-10T15:38:23+00:00,A09,S1,ej2a,correcto,3,
2026-10-10T15:38:31+00:00,2026-10-10T15:38:31+00:00,A16,S1,ej1,correcto,1,
